Song,Artist
"""Where Do Broken Hearts Go""",Whitney Houston
"""Wishing Well""",Terence Trent D'Arby
"""Anything for You""",Gloria Estefan and Miami Sound Machine
"""One More Try""",George Michael
"""Together Forever""",Rick Astley
"""Foolish Beat""",Debbie Gibson
"""Dirty Diana""",Michael Jackson
"""The Flame""",Cheap Trick
"""Hold On to the Nights""",Richard Marx
"""Roll With It""",Steve Winwood
"""Monkey""",George Michael
"""Sweet Child o' Mine""",Guns N' Roses
"""Don't Worry, Be Happy""",Bobby McFerrin
"""Love Bites""",Def Leppard
"""Red Red Wine""",UB40
"""A Groovy Kind of Love""",Phil Collins
"""Kokomo""",The Beach Boys
"""Wild, Wild West""",The Escape Club
"""Bad Medicine""",Bon Jovi
"""Baby, I Love Your Way/Freebird Medley""",Will to Power
"""Look Away""",Chicago
"""Every Rose Has Its Thorn""",Poison
"""Every Rose Has Its Thorn""",Poison
"""My Prerogative""",Bobby Brown
"""Two Hearts""",Phil Collins
"""When I'm with You""",Sheriff
"""Straight Up""",Paula Abdul
"""Lost in Your Eyes""",Debbie Gibson
"""The Living Years""",Mike + the Mechanics
"""Eternal Flame""",The Bangles
"""The Look""",Roxette
"""She Drives Me Crazy""",Fine Young Cannibals
"""Like a Prayer""",Madonna
"""I'll Be There for You""",Bon Jovi
"""Forever Your Girl""",Paula Abdul
"""Rock On""",Michael Damian
"""Wind Beneath My Wings""",Bette Midler
"""I'll Be Loving You (Forever)""",New Kids on the Block
"""Satisfied""",Richard Marx
"""Baby Don't Forget My Number""",Milli Vanilli
"""Good Thing""",Fine Young Cannibals
"""If You Don't Know Me by Now""",Simply Red
"""Toy Soldiers""",Martika
"""Batdance""",Prince
"""Right Here Waiting""",Richard Marx
"""Cold Hearted""",Paula Abdul
"""Hangin' Tough""",New Kids on the Block
"""Don't Wanna Lose You""",Gloria Estefan
"""Girl I'm Gonna Miss You""",Milli Vanilli
"""Miss You Much""",Janet Jackson
"""Listen to Your Heart""",Roxette
"""When I See You Smile""",Bad English
"""Blame It on the Rain""",Milli Vanilli
"""We Didn't Start the Fire""",Billy Joel
"""Another Day in Paradise""",Phil Collins
"""Another Day in Paradise""",Phil Collins
"""How Am I Supposed to Live Without You""",Michael Bolton
"""Opposites Attract""",Paula Abdul with The Wild Pair
"""Escapade""",Janet Jackson
"""Black Velvet""",Alannah Myles
"""Love Will Lead You Back""",Taylor Dayne
"""I'll Be Your Everything""",Tommy Page
"""Nothing Compares 2 U""",Sinéad O'Connor
"""Vogue""",Madonna
"""Hold On""",Wilson Phillips
"""It Must Have Been Love""",Roxette
"""Step by Step""",New Kids on the Block
"""She Ain't Worth It""",Glenn Medeiros featuring Bobby Brown
"""Vision of Love""",Mariah Carey
"""If Wishes Came True""",Sweet Sensation
"""Blaze of Glory""",Jon Bon Jovi
"""Release Me""",Wilson Phillips
"""(Can't Live Without Your) Love and Affection""",Nelson
"""Close to You""",Maxi Priest
"""Praying for Time""",George Michael
"""I Don't Have the Heart""",James Ingram
"""Black Cat""",Janet Jackson
"""Ice Ice Baby""",Vanilla Ice
"""Love Takes Time""",Mariah Carey
"""I'm Your Baby Tonight""",Whitney Houston
"""Because I Love You (The Postman Song)""",Stevie B
"""Justify My Love""",Madonna
"""Love Will Never Do (Without You)""",Janet Jackson
"""The First Time""",Surface
"""Gonna Make You Sweat (Everybody Dance Now)""",C+C Music Factory  featuring Freedom Williams
"""All the Man That I Need""",Whitney Houston
"""Someday""",Mariah Carey
"""One More Try""",Timmy T
"""Coming Out of the Dark""",Gloria Estefan
"""I've Been Thinking About You""",Londonbeat
"""You're in Love""",Wilson Phillips
"""Baby Baby""",Amy Grant
"""Joyride""",Roxette
"""I Like the Way (The Kissing Game)""",Hi-Five
"""I Don't Wanna Cry""",Mariah Carey
"""More Than Words""",Extreme
"""Rush Rush""",Paula Abdul
"""Unbelievable""",EMF
"""(Everything I Do) I Do It for You""",Bryan Adams
"""The Promise of a New Day""",Paula Abdul
"""I Adore Mi Amor""",Color Me Badd
"""Good Vibrations""",Marky Mark and the Funky Bunch  featuring Loleatta Holloway
"""Emotions""",Mariah Carey
"""Romantic""",Karyn White
"""Cream""",Prince and the New Power Generation
"""When a Man Loves a Woman""",Michael Bolton
The Billboard Hot 100 now derives its sales data from Nielsen SoundScan and radio airplay from BDS for its chart positions.,The Billboard Hot 100 now derives its sales data from Nielsen SoundScan and radio airplay from BDS for its chart positions.
"""Set Adrift on Memory Bliss""",P.M. Dawn
"""Black or White""",Michael Jackson
"""Black or White""",Michael Jackson
"""All 4 Love""",Color Me Badd
"""Don't Let the Sun Go Down on Me""",George Michael and Elton John
"""I'm Too Sexy""",Right Said Fred
"""To Be with You""",Mr. Big
"""Save the Best for Last""",Vanessa Williams
"""Jump""",Kris Kross
"""I'll Be There""",Mariah Carey
"""Baby Got Back""",Sir Mix-a-Lot
"""This Used to Be My Playground""",Madonna
"""End of the Road""",Boyz II Men
"""How Do You Talk to an Angel""",The Heights
"""I Will Always Love You""",Whitney Houston
"""I Will Always Love You""",Whitney Houston
"""A Whole New World""",Peabo Bryson and Regina Belle
"""Informer""",Snow
"""Freak Me""",Silk
"""That's the Way Love Goes""",Janet Jackson
"""Weak""",SWV
"""Can't Help Falling in Love""",UB40
"""Dreamlover""",Mariah Carey
"""I'd Do Anything for Love (But I Won't Do That)""",Meat Loaf
"""Again""",Janet Jackson
"""Hero""",Mariah Carey
"""Hero""",Mariah Carey
"""All for Love""",Bryan Adams / Rod Stewart / Sting
"""The Power of Love""",Céline Dion
"""The Sign""",Ace of Base
"""Bump n' Grind""",R. Kelly
"""I Swear""",All-4-One
"""Stay (I Missed You)""",Lisa Loeb & Nine Stories
"""I'll Make Love to You""",Boyz II Men
"""On Bended Knee""",Boyz II Men
"""Here Comes the Hotstepper""",Ini Kamoze
"""On Bended Knee""",Boyz II Men
"""Creep""",TLC
"""Take a Bow""",Madonna
"""This Is How We Do It""",Montell Jordan
"""Have You Ever Really Loved a Woman?""",Bryan Adams
"""Waterfalls""",TLC
"""Kiss from a Rose""",Seal
"""You Are Not Alone""",Michael Jackson
"""Gangsta's Paradise""",Coolio featuring L.V.
"""Fantasy""",Mariah Carey
"""Exhale (Shoop Shoop)""",Whitney Houston
"""One Sweet Day""",Mariah Carey and Boyz II Men
"""One Sweet Day""",Mariah Carey and Boyz II Men
"""Because You Loved Me""",Céline Dion
"""Always Be My Baby""",Mariah Carey
"""Tha Crossroads""",Bone Thugs-n-Harmony
"""How Do U Want It"" / ""California Love""",2Pac featuring K-Ci & JoJo / featuring Dr. Dre and Roger Troutman
"""You're Makin' Me High"" / ""Let It Flow""",Toni Braxton
"""Macarena"" (Bayside Boys Mix)",Los del Río
"""No Diggity""",Blackstreet featuring Dr. Dre
"""Un-Break My Heart""",Toni Braxton
"""Un-Break My Heart""",Toni Braxton
"""Wannabe""",Spice Girls
"""Can't Nobody Hold Me Down""",Puff Daddy featuring Mase
"""Hypnotize""",The Notorious B.I.G.
"""MMMBop""",Hanson
"""I'll Be Missing You""",Puff Daddy and Faith Evans featuring 112
"""Mo Money Mo Problems""",The Notorious B.I.G. featuring Puff Daddy and Mase
"""Honey""",Mariah Carey
"""4 Seasons of Loneliness""",Boyz II Men
"""Candle in the Wind 1997"" / ""Something About the Way You Look Tonight""",Elton John
"""Candle in the Wind 1997"" / ""Something About the Way You Look Tonight""",Elton John
"""Truly Madly Deeply""",Savage Garden
"""Together Again""",Janet
"""Nice & Slow""",Usher
"""My Heart Will Go On""",Céline Dion
"""Gettin' Jiggy wit It”",Will Smith
"""All My Life""",K-Ci & JoJo
"""Too Close""",Next
"""My All""",Mariah Carey
"""The Boy Is Mine""",Brandy and Monica
"""I Don't Want to Miss a Thing""",Aerosmith
"""The First Night""",Monica
"""One Week""",Barenaked Ladies
"""Doo Wop (That Thing)""",Lauryn Hill
"""Lately""",Divine
The Billboard Hot 100 updates its chart formula to include airplay-only songs that never had a commercial single release.,The Billboard Hot 100 updates its chart formula to include airplay-only songs that never had a commercial single release.
"""I'm Your Angel""",R. Kelly and Céline Dion
"""I'm Your Angel""",R. Kelly and Céline Dion
"""Have You Ever?""",Brandy
"""...Baby One More Time""",Britney Spears
"""Angel of Mine""",Monica
"""Believe""",Cher
"""No Scrubs""",TLC
"""Livin' la Vida Loca""",Ricky Martin
"""If You Had My Love""",Jennifer Lopez
"""Bills, Bills, Bills""",Destiny's Child
"""Wild Wild West""",Will Smith featuring Dru Hill and Kool Moe Dee
"""Genie in a Bottle""",Christina Aguilera
"""Bailamos""",Enrique Iglesias
"""Unpretty""",TLC
"""Heartbreaker""",Mariah Carey featuring Jay-Z
"""Smooth""",Santana featuring Rob Thomas
"""Smooth""",Santana featuring Rob Thomas
"""What a Girl Wants""",Christina Aguilera
"""I Knew I Loved You""",Savage Garden
"""Thank God I Found You""",Mariah Carey featuring Joe and 98 Degrees
"""Amazed""",Lonestar
"""Say My Name""",Destiny's Child
"""Maria Maria""",Santana featuring The Product G&B
"""Try Again""",Aaliyah
"""Be with You""",Enrique Iglesias
"""Everything You Want""",Vertical Horizon
"""Bent""",Matchbox Twenty
"""It's Gonna Be Me""",NSYNC
"""Incomplete""",Sisqó
"""Doesn't Really Matter""",Janet
"""Music""",Madonna
"""Come On Over Baby (All I Want Is You)""",Christina Aguilera
"""With Arms Wide Open""",Creed
"""Independent Women""",Destiny's Child
"""Independent Women""",Destiny's Child
"""It Wasn't Me""","Shaggy featuring Ricardo ""RikRok"" Ducent"
"""Ms. Jackson""",OutKast
"""Stutter""",Joe featuring Mystikal
"""Butterfly""",Crazy Town
"""Angel""",Shaggy featuring Rayvon
"""All for You""",Janet Jackson
"""Lady Marmalade""","Christina Aguilera, Lil' Kim, Mýa and Pink"
"""U Remind Me""",Usher
"""Bootylicious""",Destiny's Child
"""Fallin'""",Alicia Keys
"""I'm Real (Murder Remix)""",Jennifer Lopez featuring Ja Rule
"""Family Affair""",Mary J. Blige
"""U Got It Bad""",Usher
"""How You Remind Me""",Nickelback
"""How You Remind Me""",Nickelback
"""U Got It Bad""",Usher
"""Always on Time""",Ja Rule featuring Ashanti
"""Ain't It Funny (Murder Remix)""",Jennifer Lopez featuring Ja Rule
"""Foolish""",Ashanti
"""Hot in Herre""",Nelly
"""Dilemma""",Nelly featuring Kelly Rowland
"""A Moment Like This""",Kelly Clarkson
"""Lose Yourself""",Eminem
"""Lose Yourself""",Eminem
"""Bump, Bump, Bump""",B2K featuring P. Diddy
"""All I Have""",Jennifer Lopez featuring LL Cool J
"""In da Club""",50 Cent
"""Get Busy""",Sean Paul
"""21 Questions""",50 Cent featuring Nate Dogg
"""This Is the Night""",Clay Aiken
"""Crazy in Love""",Beyoncé featuring Jay-Z
"""Shake Ya Tailfeather""","Nelly, P. Diddy and Murphy Lee"
"""Baby Boy""",Beyoncé featuring Sean Paul
"""Stand Up""",Ludacris featuring Shawnna
"""Hey Ya!""",OutKast
"""Hey Ya!""",OutKast
"""The Way You Move""",OutKast featuring Sleepy Brown
"""Slow Jamz""",Twista featuring Kanye West and Jamie Foxx
"""Yeah!""",Usher featuring Lil Jon and Ludacris
"""Burn""",Usher
"""I Believe""",Fantasia
"""Confessions Part II""",Usher
"""Slow Motion""",Juvenile featuring Soulja Slim
"""Lean Back""",Terror Squad
"""Goodies""",Ciara featuring Petey Pablo
"""My Boo""",Usher and Alicia Keys
"""Drop It Like It's Hot""",Snoop Dogg featuring Pharrell
"""Let Me Love You""",Mario
"""Candy Shop""",50 Cent featuring Olivia
"""Hollaback Girl""",Gwen Stefani
"""We Belong Together""",Mariah Carey
"""Inside Your Heaven""",Carrie Underwood
"""Gold Digger""",Kanye West featuring Jamie Foxx
"""Run It!""",Chris Brown
"""Don't Forget About Us""",Mariah Carey
"""Don't Forget About Us""",Mariah Carey
"""Laffy Taffy""",D4L
"""Grillz""","Nelly featuring Paul Wall, Ali & Gipp"
"""Check on It""",Beyoncé featuring Slim Thug
"""You're Beautiful""",James Blunt
"""So Sick""",Ne-Yo
"""Temperature""",Sean Paul
"""Bad Day""",Daniel Powter
"""SOS""",Rihanna
"""Ridin'""",Chamillionaire featuring Krayzie Bone
"""Hips Don't Lie""",Shakira featuring Wyclef Jean
"""Do I Make You Proud""",Taylor Hicks
"""Promiscuous""",Nelly Furtado featuring Timbaland
"""London Bridge""",Fergie
"""SexyBack""",Justin Timberlake
"""Money Maker""",Ludacris featuring Pharrell
"""My Love""",Justin Timberlake featuring T.I.
"""I Wanna Love You""",Akon featuring Snoop Dogg
"""Irreplaceable""",Beyoncé
"""Irreplaceable""",Beyoncé
"""Say It Right""",Nelly Furtado
"""What Goes Around...Comes Around""",Justin Timberlake
"""This Is Why I'm Hot""",Mims
"""Glamorous""",Fergie featuring Ludacris
"""Don't Matter""",Akon
"""Give It to Me""",Timbaland featuring Nelly Furtado and Justin Timberlake
"""Girlfriend""",Avril Lavigne
"""Makes Me Wonder""",Maroon 5
"""Buy U a Drank (Shawty Snappin')""",T-Pain featuring Yung Joc
"""Umbrella""",Rihanna featuring Jay-Z
"""Hey There Delilah""",Plain White T's
"""Beautiful Girls""",Sean Kingston
"""Big Girls Don't Cry""",Fergie
"""Crank That (Soulja Boy)""",Soulja Boy Tell 'Em
"""Stronger""",Kanye West
"""Kiss Kiss""",Chris Brown featuring T-Pain
"""No One""",Alicia Keys
"""Low""",Flo Rida featuring T-Pain
"""Love in This Club""",Usher featuring Young Jeezy
"""Bleeding Love""",Leona Lewis
"""Touch My Body""",Mariah Carey
"""Lollipop""",Lil Wayne featuring Static Major
"""Take a Bow""",Rihanna
"""Viva la Vida""",Coldplay
"""I Kissed a Girl""",Katy Perry
"""Disturbia""",Rihanna
"""Whatever You Like""",T.I.
"""So What""",Pink
"""Live Your Life""",T.I. featuring Rihanna
"""Womanizer""",Britney Spears
"""Single Ladies (Put a Ring on It)""",Beyoncé
"""Single Ladies (Put a Ring on It)""",Beyoncé
"""Just Dance""",Lady Gaga featuring Colby O'Donis
"""My Life Would Suck Without You""",Kelly Clarkson
"""Crack a Bottle""","Eminem, Dr. Dre and 50 Cent"
"""Right Round""",Flo Rida
"""Poker Face""",Lady Gaga
"""Boom Boom Pow""",The Black Eyed Peas
"""I Gotta Feeling""",The Black Eyed Peas
"""Down""",Jay Sean featuring Lil Wayne
"""3""",Britney Spears
"""Fireflies""",Owl City
"""Whatcha Say""",Jason Derulo
"""Empire State of Mind""",Jay-Z and Alicia Keys
"""Tik Tok""",Kesha
"""Imma Be""",The Black Eyed Peas
"""Break Your Heart""",Taio Cruz featuring Ludacris
"""Rude Boy""",Rihanna
"""Nothin' on You""",B.o.B featuring Bruno Mars
"""OMG""",Usher featuring will.i.am
"""Not Afraid""",Eminem
"""California Gurls""",Katy Perry featuring Snoop Dogg
"""Love the Way You Lie""",Eminem featuring Rihanna
"""Teenage Dream""",Katy Perry
"""Just the Way You Are""",Bruno Mars
"""Like a G6""",Far East Movement featuring The Cataracs and Dev
"""We R Who We R""",Kesha
"""What's My Name?""",Rihanna featuring Drake
"""Only Girl (In the World)""",Rihanna
"""Raise Your Glass""",Pink
"""Firework""",Katy Perry
"""Firework""",Katy Perry
"""Grenade""",Bruno Mars
"""Hold It Against Me""",Britney Spears
"""Black and Yellow""",Wiz Khalifa
"""Born This Way""",Lady Gaga
"""E.T.""",Katy Perry featuring Kanye West
"""S&M""",Rihanna featuring Britney Spears
"""Rolling in the Deep""",Adele
"""Give Me Everything""","Pitbull featuring Ne-Yo, Afrojack and Nayer"
"""Party Rock Anthem""",LMFAO featuring Lauren Bennett and GoonRock
"""Last Friday Night (T.G.I.F.)""",Katy Perry
"""Moves Like Jagger""",Maroon 5 featuring Christina Aguilera
"""Someone Like You""",Adele
"""We Found Love""",Rihanna featuring Calvin Harris
"""Sexy and I Know It""",LMFAO
"""We Found Love""",Rihanna featuring Calvin Harris
"""Set Fire to the Rain""",Adele
"""Stronger (What Doesn't Kill You)""",Kelly Clarkson
"""Part of Me""",Katy Perry
"""We Are Young""",Fun featuring Janelle Monáe
"""Somebody That I Used to Know""",Gotye featuring Kimbra
"""Call Me Maybe""",Carly Rae Jepsen
"""Whistle""",Flo Rida
"""We Are Never Ever Getting Back Together""",Taylor Swift
"""One More Night""",Maroon 5
"""Diamonds""",Rihanna
"""Locked Out of Heaven""",Bruno Mars
"""Locked Out of Heaven""",Bruno Mars
"""Thrift Shop"" [4]",Macklemore & Ryan Lewis featuring Wanz
"""Harlem Shake""",Baauer
"""When I Was Your Man""",Bruno Mars
"""Just Give Me a Reason""",Pink featuring Nate Ruess
"""Can't Hold Us""",Macklemore & Ryan Lewis featuring Ray Dalton
"""Blurred Lines""",Robin Thicke featuring T.I. and Pharrell
"""Roar""",Katy Perry
"""Wrecking Ball""",Miley Cyrus
"""Royals""",Lorde
"""The Monster""",Eminem featuring Rihanna
"""The Monster""",Eminem featuring Rihanna
"""Timber""",Pitbull featuring Kesha
"""Dark Horse""",Katy Perry featuring Juicy J
"""Happy"" [1]",Pharrell Williams
"""All of Me""",John Legend
"""Fancy""",Iggy Azalea featuring Charli XCX
"""Rude""",Magic!
"""Shake It Off""",Taylor Swift
"""All About That Bass""",Meghan Trainor
"""Blank Space""",Taylor Swift
"""Blank Space""",Taylor Swift
"""Uptown Funk""",Mark Ronson featuring Bruno Mars
"""See You Again""",Wiz Khalifa featuring Charlie Puth
"""Bad Blood""",Taylor Swift featuring Kendrick Lamar
"""Cheerleader""",Omi
"""Can't Feel My Face""",The Weeknd
"""What Do You Mean?""",Justin Bieber
"""The Hills""",The Weeknd
"""Hello""",Adele
"""Hello""",Adele
"""Sorry""",Justin Bieber
"""Love Yourself""",Justin Bieber
"""Pillowtalk""",Zayn
"""Work""",Rihanna featuring Drake
"""Panda""",Desiigner
"""One Dance""",Drake featuring Wizkid and Kyla
"""Can't Stop the Feeling!""",Justin Timberlake
"""Cheap Thrills""",Sia featuring Sean Paul
"""Closer""",The Chainsmokers featuring Halsey
"""Black Beatles""",Rae Sremmurd featuring Gucci Mane
"""Starboy""",The Weeknd featuring Daft Punk
"""Black Beatles""",Rae Sremmurd featuring Gucci Mane
"""Bad and Boujee""",Migos featuring Lil Uzi Vert
"""Shape of You""",Ed Sheeran
"""Humble""",Kendrick Lamar
"""That's What I Like""",Bruno Mars
"""I'm the One""","DJ Khaled featuring Justin Bieber, Quavo, Chance the Rapper and Lil Wayne"
"""Despacito""",Luis Fonsi and Daddy Yankee featuring Justin Bieber
"""Look What You Made Me Do""",Taylor Swift
"""Bodak Yellow""",Cardi B
"""Rockstar""",Post Malone featuring 21 Savage
"""Perfect""",Ed Sheeran and Beyoncé
"""Perfect""",Ed Sheeran and Beyoncé
"""Havana""",Camila Cabello featuring Young Thug
"""God's Plan""",Drake
"""Nice for What""",Drake
"""This Is America""",Childish Gambino
"""Psycho""",Post Malone featuring Ty Dolla Sign
"""Sad!""",XXXTentacion
"""I Like It""","Cardi B, Bad Bunny and J Balvin"
"""In My Feelings""",Drake
"""Girls Like You""",Maroon 5 featuring Cardi B
"""Thank U, Next""",Ariana Grande
"""Sicko Mode""",Travis Scott
"""Thank U, Next""",Ariana Grande
"""Without Me""",Halsey
"""Sunflower""",Post Malone and Swae Lee
"""7 Rings""",Ariana Grande
"""Shallow""",Lady Gaga and Bradley Cooper
"""Sucker""",Jonas Brothers
"""Old Town Road""",Lil Nas X
"""Bad Guy""",Billie Eilish
"""Señorita""",Shawn Mendes and Camila Cabello
"""Truth Hurts""",Lizzo
"""Highest in the Room""",Travis Scott
"""Someone You Loved""",Lewis Capaldi
"""Lose You to Love Me""",Selena Gomez
"""Circles""",Post Malone
"""Heartless""",The Weeknd
"""All I Want for Christmas Is You""",Mariah Carey
"""All I Want for Christmas Is You""",Mariah Carey
"""Circles""",Post Malone
"""The Box""",Roddy Ricch
"""Blinding Lights""",The Weeknd
"""Toosie Slide""",Drake
"""The Scotts""","The Scotts,[a] Travis Scott and Kid Cudi"
"""Say So""",Doja Cat featuring Nicki Minaj
"""Stuck with U""",Ariana Grande and Justin Bieber
"""Savage""",Megan Thee Stallion featuring Beyoncé
"""Rain on Me""",Lady Gaga and Ariana Grande
"""Rockstar""",DaBaby featuring Roddy Ricch
"""Trollz""",6ix9ine and Nicki Minaj
"""Cardigan""",Taylor Swift
"""Watermelon Sugar""",Harry Styles
"""WAP""",Cardi B featuring Megan Thee Stallion
"""Dynamite""",BTS
"""Franchise""",Travis Scott featuring Young Thug and M.I.A.
"""Savage Love (Laxed – Siren Beat)""","Jawsh 685, Jason Derulo and BTS"
"""Mood""",24kGoldn featuring Iann Dior
"""Positions""",Ariana Grande
"""Life Goes On""",BTS
"""Willow""",Taylor Swift
"""All I Want for Christmas Is You""",Mariah Carey
"""Mood""",24kGoldn featuring Iann Dior
"""Drivers License""",Olivia Rodrigo
"""What's Next""",Drake
"""Up""",Cardi B
"""Peaches""",Justin Bieber featuring Daniel Caesar and Giveon
"""Montero (Call Me by Your Name)""",Lil Nas X
"""Leave the Door Open""",Silk Sonic (Bruno Mars and Anderson .Paak)[note 1]
"""Rapstar""",Polo G
"""Save Your Tears""",The Weeknd and Ariana Grande
"""Good 4 U""",Olivia Rodrigo
"""Butter""",BTS
"""Permission to Dance""",BTS
"""Stay""",The Kid Laroi and Justin Bieber
"""Way 2 Sexy""",Drake featuring Future and Young Thug
"""My Universe""",Coldplay and BTS
"""Industry Baby""",Lil Nas X and Jack Harlow
"""Easy on Me""",Adele
"""All Too Well (Taylor's Version)""",Taylor Swift
"""All I Want for Christmas Is You""",Mariah Carey
"""Easy on Me""",Adele
"""We Don't Talk About Bruno""","Carolina Gaitán, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz and the Encanto cast"
"""Heat Waves""",Glass Animals
"""As It Was""",Harry Styles
"""First Class""",Jack Harlow
"""Wait for U""",Future featuring Drake and Tems
"""Jimmy Cooks""",Drake featuring 21 Savage
"""About Damn Time""",Lizzo
"""Break My Soul""",Beyoncé
"""Super Freaky Girl""",Nicki Minaj
"""Bad Habit""",Steve Lacy
"""Unholy""",Sam Smith and Kim Petras
"""Anti-Hero""",Taylor Swift
"""All I Want for Christmas Is You""",Mariah Carey
"""Anti-Hero""",Taylor Swift
"""Flowers""",Miley Cyrus
"""Die for You""",The Weeknd and Ariana Grande
"""Last Night""",Morgan Wallen
"""Like Crazy""",Jimin
"""Kill Bill""",SZA
